Abbreviation,Spellout,English gloss,English translation
N.Acc,Substantiv Akkusativ,,Singular Accusative
N.Loc,Substantiv Lokativ,,Singular Locative
N.Ill,Substantiv Illativ,,Singular Illative
N.Com,Substantiv Komitativ,,Singular Comitative
N.Gen,Substantiv Genitiv,,Singular Genitive
N.Nom,Substantiv Nominativ,,Singular Nominative
V.Ind.Prs,Presens Indikativ,,Third Person Singular Present Tense Indicative
V.Cond.Prs,Presens Kondisjonalis,,Third Person Singular Present Tense Conditional
V.Actio.Ess,Aktio Essiv,,Actio Essive
V.Imprt,Imperativ,,Second Person Singular Imperative
V.Inf,Infinitiv,,Infinitive
A.Superl.Attr,Superlativ Attributiv,,Superlative Attributive
A.Attr,Attributiv,,Attributive
V.Ind.Prt,Preteritum Indikativ,,Third Person Singular Past Tense Indicative
